alg,filename,shorthand,flags,realtime_sec,cpu_user_sec,cpu_sys_sec,exit,threads,timestamp
encode,Huisken_vasculature_unweighted,libx264_ultrafast,"-c:v libx264 -preset ultrafast",0.17,0.71,0.06,0,8,1494362963
encode,Huisken_vasculature_unweighted,libx265_ultrafast,"-c:v libx265 -x265-params pools=8,-",3.56,22.45,0.21,0,8,1494362962
encode,Huisken_vasculature_weighted_power_3_1,libx264_ultrafast,"-c:v libx264 -preset ultrafast",0.20,0.68,0.07,0,8,1494362962
encode,Huisken_vasculature_weighted_power_3_1,libx265_ultrafast,"-c:v libx265 -x265-params pools=8,-",2.90,21.91,0.21,0,8,1494362962
encode,Myers_synthetic_blobs_noise_weighted_power_3_1,libx264_ultrafast,"-c:v libx264 -preset ultrafast",0.14,0.34,0.05,0,8,1494362963
encode,Myers_synthetic_blobs_noise_weighted_power_3_1,libx265_ultrafast,"-c:v libx265 -x265-params pools=8,-",2.35,8.04,0.19,0,8,1494362963
encode,Tomancak_spim_TL08_Angle1_Channel1_weighted_power_3_1,libx264_ultrafast,"-c:v libx264 -preset ultrafast",0.34,1.94,0.15,0,8,1494362963
encode,Tomancak_spim_TL08_Angle1_Channel1_weighted_power_3_1,libx265_ultrafast,"-c:v libx265 -x265-params pools=8,-",5.56,31.56,0.52,0,8,1494362963
encode,Keller_TM0829_Droso_PanNeural_weighted_power_3_1,libx264_ultrafast,"-c:v libx264 -preset ultrafast",0.24,0.28,0.07,0,8,1494362963
encode,Keller_TM0829_Droso_PanNeural_weighted_power_3_1,libx265_ultrafast,"-c:v libx265 -x265-params pools=8,-",1.89,6.80,0.19,0,8,1494362964
encode,Keller_TM2497_Droso_HisGFP_unweighted,libx264_ultrafast,"-c:v libx264 -preset ultrafast",0.21,0.98,0.07,0,8,1494362964
encode,Keller_TM2497_Droso_HisGFP_unweighted,libx265_ultrafast,"-c:v libx265 -x265-params pools=8,-",4.44,33.98,0.28,0,8,1494362964
encode,Keller_Zebrafish_HisGFP_weighted_power_3_1,libx264_ultrafast,"-c:v libx264 -preset ultrafast",0.90,4.76,0.50,0,8,1494362963
encode,Keller_Zebrafish_HisGFP_weighted_power_3_1,libx265_ultrafast,"-c:v libx265 -x265-params pools=8,-",14.92,109.32,1.61,0,8,1494362963
encode,Keller_TM0066_Droso_HisGFP_weighted_power_3_1,libx264_ultrafast,"-c:v libx264 -preset ultrafast",0.16,0.46,0.06,0,8,1494362964
encode,Keller_TM0066_Droso_HisGFP_weighted_power_3_1,libx265_ultrafast,"-c:v libx265 -x265-params pools=8,-",2.13,12.30,0.43,0,8,1494362963
encode,Myers_synthetic_filaments_noise_weighted_power_3_1,libx264_ultrafast,"-c:v libx264 -preset ultrafast",0.14,0.38,0.06,0,8,1494362962
encode,Myers_synthetic_filaments_noise_weighted_power_3_1,libx265_ultrafast,"-c:v libx265 -x265-params pools=8,-",1.83,10.91,0.18,0,8,1494362963
