filename,shorthand,flags,timestamp,raw_size_bytes,encoded_size_bytes,bits_p_sample,left_drange,mse,nrmse,psnr,right_drange
Huisken_vasculature_weighted_power_3_1,libx264_ultrafast,"-c:v libx264 -preset ultrafast",1494362962,91238846,14312085,8,256,5.16384,0.000100908,94.4085,256
Huisken_vasculature_weighted_power_3_1,libx265_ultrafast,"-c:v libx265 -x265-params pools=8,-",1494362962,91238846,1744201,8,256,11.7831,0.000152429,86.1586,256
Keller_TM0829_Droso_PanNeural_unweighted,libx264_ultrafast,"-c:v libx264 -preset ultrafast",1494362963,91999365,15644108,8,256,6.13992,0.000109804,92.6772,256
Keller_TM0829_Droso_PanNeural_unweighted,libx265_ultrafast,"-c:v libx265 -x265-params pools=8,-",1494362962,91999365,3004245,8,256,13.8184,0.000164727,84.5653,256
Hyman_ky5346_3_SI_great37-1_unweighted,libx264_ultrafast,"-c:v libx264 -preset ultrafast",1494362964,7219532,334193,8,256,2.85338,0.00014143,100.34,256
Hyman_ky5346_3_SI_great37-1_unweighted,libx265_ultrafast,"-c:v libx265 -x265-params pools=8,-",1494362964,7219532,18121,8,256,4.4437,0.000176495,95.9104,256
Tomancak_spim_TL05_Angle1_weighted_power_3_1,libx264_ultrafast,"-c:v libx264 -preset ultrafast",1494362963,574157920,15582058,8,255,2.7033,4.62784e-05,100.881,252
Tomancak_spim_TL05_Angle1_weighted_power_3_1,libx265_ultrafast,"-c:v libx265 -x265-params pools=8,-",1494362963,574157920,471897,8,255,3.33968,5.1438e-05,98.7665,248
Keller_TM2497_Droso_HisGFP_weighted_power_3_1,libx264_ultrafast,"-c:v libx264 -preset ultrafast",1494362962,116521467,5625654,8,256,3.22643,7.50314e-05,99.1115,256
Keller_TM2497_Droso_HisGFP_weighted_power_3_1,libx265_ultrafast,"-c:v libx265 -x265-params pools=8,-",1494362962,116521467,1199822,8,256,6.55389,0.000106938,92.0247,256
Tomancak_spim_TL50_Angle1_weighted_power_3_1,libx264_ultrafast,"-c:v libx264 -preset ultrafast",1494362963,396864832,25119064,8,249,4.67046,6.83267e-05,95.4127,251
Tomancak_spim_TL50_Angle1_weighted_power_3_1,libx265_ultrafast,"-c:v libx265 -x265-params pools=8,-",1494362963,396864832,903603,8,249,6.42881,8.01634e-05,92.2174,256
Huisken_vasculature_unweighted,libx264_ultrafast,"-c:v libx264 -preset ultrafast",1494362963,91238846,14792362,8,256,5.5189,0.000104319,93.7435,256
Huisken_vasculature_unweighted,libx265_ultrafast,"-c:v libx265 -x265-params pools=8,-",1494362962,91238846,1960822,8,256,12.3959,0.000156343,85.6516,256
Myers_synthetic_blobs_noise_weighted_power_3_1,libx264_ultrafast,"-c:v libx264 -preset ultrafast",1494362963,100664882,3186144,8,256,1.78915,5.79547e-05,105.008,256
Myers_synthetic_blobs_noise_weighted_power_3_1,libx265_ultrafast,"-c:v libx265 -x265-params pools=8,-",1494362963,100664882,624140,8,256,5.15045,9.83303e-05,94.4344,255
Tomancak_spim_TL08_Angle1_Channel1_weighted_power_3_1,libx264_ultrafast,"-c:v libx264 -preset ultrafast",1494362963,328320622,20830696,8,256,4.66741,6.9654e-05,95.4192,256
Tomancak_spim_TL08_Angle1_Channel1_weighted_power_3_1,libx265_ultrafast,"-c:v libx265 -x265-params pools=8,-",1494362963,328320622,573517,8,256,6.4351,8.17873e-05,92.2076,256
Keller_TM0066_Droso_HisGFP_weighted_power_3_1,libx264_ultrafast,"-c:v libx264 -preset ultrafast",1494362964,116521467,3910383,8,256,2.64944,6.79921e-05,101.082,256
Keller_TM0066_Droso_HisGFP_weighted_power_3_1,libx265_ultrafast,"-c:v libx265 -x265-params pools=8,-",1494362963,116521467,670111,8,256,4.78944,9.14164e-05,95.1611,256
Tomancak_spim_TL05_Angle1_unweighted,libx264_ultrafast,"-c:v libx264 -preset ultrafast",1494362963,574157920,76450429,8,256,5.64475,6.66112e-05,93.518,256
Tomancak_spim_TL05_Angle1_unweighted,libx265_ultrafast,"-c:v libx265 -x265-params pools=8,-",1494362963,574157920,8239035,8,256,11.4043,9.46803e-05,86.4854,256
