Keller_TM0829_Droso_PanNeural,rmestbkrd->bitswap1->lz4,1493908718,16,5597,45.28,1.35879e-05,183.678,5534
Keller_TM0829_Droso_PanNeural,quantiser->hevc,1493908718,16,5597,10748.6,0.000209351,128.982,65057
Keller_TM2497_Droso_HisGFP,lz4,1493908680,16,5082,0,0,inf,5082
Keller_TM2497_Droso_HisGFP,quantiser->lz4,1493908683,16,5082,2881.16,0.000112527,142.147,64802
Keller_TM2497_Droso_HisGFP,quantiser->h264,1493908683,16,5082,8570.72,0.00019408,131.246,64793
Keller_TM2497_Droso_HisGFP,bitswap1->lz4,1493908692,16,5082,0,0,inf,5082
Keller_TM2497_Droso_HisGFP,frame_shuffle->bitswap1->lz4,1493908692,16,5082,0,0,inf,5082
Keller_TM2497_Droso_HisGFP,raster_reorder(tile_size=16)->bitswap1->lz4,1493908697,16,5082,0,0,inf,5082
Keller_TM2497_Droso_HisGFP,zcurve_reorder(tile_size=16)->bitswap1->lz4,1493908695,16,5082,0,0,inf,5082
Keller_TM2497_Droso_HisGFP,quantiser->hevc,1493908695,16,5082,7372.38,0.000180002,132.752,65057
Keller_TM2497_Droso_HisGFP,zcurve_reorder(tile_size=16)->bitswap1->lz4,1493908698,16,5082,0,0,inf,5082
Keller_TM2497_Droso_HisGFP,raster_reorder(tile_size=16)->bitswap1->lz4,1493908701,16,5082,0,0,inf,5082
Keller_TM2497_Droso_HisGFP,rmestbkrd->bitswap1->lz4,1493908718,16,5082,43.5457,1.38339e-05,184.069,5019
Keller_Zebrafish_HisGFP,lz4,1493908680,16,322,0,0,inf,322
Keller_Zebrafish_HisGFP,quantiser->lz4,1493908680,16,322,100.668,0.000183712,175.688,64392
Keller_Zebrafish_HisGFP,quantiser->h264,1493908680,16,322,114.752,0.000196143,174.379,64793
Keller_Zebrafish_HisGFP,zcurve_reorder(tile_size=16)->bitswap1->lz4,1493908680,16,322,0,0,inf,322
Keller_Zebrafish_HisGFP,raster_reorder(tile_size=16)->bitswap1->lz4,1493908680,16,322,0.33402,1.05823e-05,232.772,322
Keller_Zebrafish_HisGFP,zcurve_reorder(tile_size=16)->bitswap1->lz4,1493908680,16,322,0,0,inf,322
Keller_Zebrafish_HisGFP,frame_shuffle->bitswap1->lz4,1493908680,16,322,0,0,inf,322
Keller_Zebrafish_HisGFP,bitswap1->lz4,1493908680,16,322,0,0,inf,322
