decode,Hyman_ky5346_3_SI_great37-1,quantiser->h264,0.40,0.13,0.12,0,8,1493908730
decode,Hyman_ky5346_3_SI_great37-1,raster_reorder(tile_size=16)->bitswap1->lz4,0.42,0.24,0.11,0,8,1493908730
decode,Hyman_ky5346_3_SI_great37-1,bitswap1->lz4,0.43,0.15,0.11,0,8,1493908730
decode,Hyman_ky5346_3_SI_great37-1,raster_reorder(tile_size=16)->bitswap1->lz4,0.44,0.25,0.11,0,8,1493908730
decode,Hyman_ky5346_3_SI_great37-1,zcurve_reorder(tile_size=16)->bitswap1->lz4,0.45,0.35,0.11,0,8,1493908730
decode,Hyman_ky5346_3_SI_great37-1,rmestbkrd->bitswap1->lz4,0.47,0.16,0.14,0,8,1493908730
decode,Hyman_ky5346_3_SI_great37-1,zcurve_reorder(tile_size=16)->bitswap1->lz4,0.54,0.35,0.12,0,8,1493908730
decode,Hyman_ky5346_3_SI_great37-1,quantiser->hevc,0.57,0.29,0.11,0,8,1493908730
encode,Keller_TM0066_Droso_HisGFP,bitswap1->lz4,1.30,0.99,0.75,0,8,1493908642
encode,Keller_TM0066_Droso_HisGFP,lz4,1.34,0.70,0.57,0,8,1493908645
encode,Keller_TM0066_Droso_HisGFP,rmestbkrd->bitswap1->lz4,3.76,3.47,0.75,0,8,1493908645
encode,Keller_TM0066_Droso_HisGFP,quantiser->lz4,1.30,0.47,0.84,0,8,1493908648
encode,Keller_TM0066_Droso_HisGFP,raster_reorder(tile_size=4)->bitswap1->lz4,1.41,1.26,0.88,0,8,1493908650
encode,Keller_TM0066_Droso_HisGFP,frame_shuffle->bitswap1->lz4,1.73,3.71,0.80,0,8,1493908650
encode,Keller_TM0066_Droso_HisGFP,quantiser->h264,1.78,1.71,1.10,0,8,1493908650
encode,Keller_TM0066_Droso_HisGFP,raster_reorder(tile_size=16)->bitswap1->lz4,1.57,1.20,0.81,0,8,1493908650
encode,Keller_TM0066_Droso_HisGFP,zcurve_reorder(tile_size=16)->bitswap1->lz4,1.54,3.13,0.83,0,8,1493908650
